Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Ledax Vysoké Mýto o.p.s.,2.29938616
"NOVIDA, o.p.s.",2.2738719
Českomoravská provincie Hospitálského řádu sv. Jana z Boha - Milosrdných bratří,2.2727767
"Nadace Quido Schwanka - Troja, město v zeleni",2.26277959
Kongregace Milosrdných sester III. řádu sv. Františka pod ochranou Svaté Rodiny v Brně,2.2224104500000004
Světlo Jihlavské Terasy o.p.s.,2.20792887
"Společně, o.p.s.",2.1857062099999998
"Místní akční skupina Třešťsko, o.p.s.",2.14830847
"Fórum 50 %, o.p.s.",2.1261422000000003
"sociální nadační fond města Brna ""Domovy potřebných""",2.1163089900000003
"CENTRUM VYSOČINA, o.p.s.",2.11201013
"MAS Vizovicko a Slušovicko, o.p.s.",2.102345
Aktivní život o.p.s.,2.05867995
ENERGIE o.p.s.,2.0286106100000003
Sbor Jednoty bratrské v Hradci Králové - Sion,1.998695
"Hospic sv. Jana N. Neumanna, o.p.s.",1.98853699
Česká provincie Congregatio Jesu,1.96081014
"ORE-institut, o.p.s.",1.9350888
"Astras, o.p.s.",1.91214162
Základní škola waldorfská a mateřská škola České Budějovice o.p.s.,1.882221
Diakonie ČCE - Středisko křesťanské pomoci v Praze,1.86788207
Farní charita Dvůr Králové nad Labem,1.86528618
"Mateřská škola, Základní škola a Praktická škola při centru ARPIDA, o.p.s.",1.8534845500000001
ŽÍT SPOLU o.p.s.,1.8339425
"LRS Chvaly, o.p.s.",1.83079953
"Regionální turistické a informační centrum, o.p.s.",1.82327809
"La Strada Česká republika, o.p.s.",1.82306073
"PROSTOR PRO, o.p.s.",1.80854223
"ACCENDO - Centrum pro vědu a výzkum, o.p.s.",1.79634538
"Společnost pro kreativitu ve vzdělávání, o.p.s.",1.78536455
Římskokatolická farnost Kolín,1.782287
"Help - in, o.p.s.",1.7757261299999998
Charita Konice,1.7421402099999999
Farní charita Příbram,1.73659384
