Hosp.právní forma,Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Obecně prospěšná společnost,"Zámek Brtnice, o.p.s.",3.58636592
Obecně prospěšná společnost,FOKUS Liberec o.p.s.,3.5472072000000003
Obecně prospěšná společnost,ISIS - M o.p.s.,3.5422688300000003
Obecně prospěšná společnost,"Soukromá mateřská škola, základní škola a střední škola Slunce, o.p.s.",3.5336491299999997
Nadace,"Nadace pro rozvoj v oblasti umělé výživy, metabolismu a gerontologie",3.49146802
Obecně prospěšná společnost,"Institut pro památky a kulturu, o.p.s.",3.41503092
Obecně prospěšná společnost,"IT4CARE, o.p.s.",3.3594742799999997
Obecně prospěšná společnost,"Vyšší odborná škola hotelnictví a turismu, o.p.s.",3.30794234
Obecně prospěšná společnost,"Centrum uznávání a celoživotního učení Pardubického kraje, o.p.s.",3.30104536
Obecně prospěšná společnost,Evropské sociálně zdravotní centrum Praha o.p.s.,3.29135982
Obecně prospěšná společnost,Hradubická energetická o.p.s.,3.2827019400000004
Obecně prospěšná společnost,"CLEAR SERVIS, o.p.s.",3.25869803
Obecně prospěšná společnost,"Služby Hnojník, o.p.s.",3.221307
Obecně prospěšná společnost,"Srdce a čin, o.p.s.",3.21663176
Obecně prospěšná společnost,Místní akční skupina Hlubocko - Lišovsko o.p.s.,3.0988095999999996
Obecně prospěšná společnost,"Bioinstitut, o. p. s.",3.0838061
Obecně prospěšná společnost,"MENS SANA, o.p.s.",3.06512552
Obecně prospěšná společnost,"Transparency International - Česká republika, o.p.s.",3.05539359
Obecně prospěšná společnost,"Regio Písek, o.p.s.",3.0492345899999997
Obecně prospěšná společnost,Obnova zámeckých zahrad a zámku Choustník o.p.s.,3.03080024
Obecně prospěšná společnost,"DĚTSKÝ KLÍČ Šumperk, o.p.s.",3.0301032
Obecně prospěšná společnost,Česko-britská o.p.s.,2.97983821
Obecně prospěšná společnost,Komunikujeme o.p.s.,2.97106187
Obecně prospěšná společnost,"Mateřská škola Semínko, o.p.s.",2.96675529
Obecně prospěšná společnost,"POINT 50+, obecně prospěšná společnost",2.95879054
Obecně prospěšná společnost,ERGO Aktiv,2.92256453
Obecně prospěšná společnost,"Základní škola speciální NONA, o.p.s.",2.91920534
Obecně prospěšná společnost,"Nakladatelství PASPARTA, o.p.s.",2.9122733199999997
Obecně prospěšná společnost,Most pro lidská práva,2.87746975
Obecně prospěšná společnost,"Horní hrad, o.p.s.",2.8607689900000004
Obecně prospěšná společnost,Důl Jan Šverma o.p.s.,2.8127257799999996
Obecně prospěšná společnost,"In IUSTITIA, o.p.s.",2.74686893
Obecně prospěšná společnost,"Střední škola sociálních a zdravotnických služeb Vesna, o.p.s.",2.7383275400000002
Obecně prospěšná společnost,Soukromá podřipská střední odborná škola a střední odborné učiliště o.p.s.,2.73572929
Obecně prospěšná společnost,"Handicap centrum Srdce, o.p.s.",2.70857149
Obecně prospěšná společnost,NuArt o.p.s.,2.6977608199999996
Obecně prospěšná společnost,"Lávka, o.p.s.",2.67670983
Obecně prospěšná společnost,Obecně prospěšná společnost Máchovo jezero,2.6049060099999997
Obecně prospěšná společnost,"ForAgria - vzdělávací středisko lesnictví a zemědělství, o.p.s.",2.59993412
Obecně prospěšná společnost,"Brána, o.p.s.",2.58033052
Obecně prospěšná společnost,"Soukromé gymnázium AD FONTES, o.p.s.",2.55361651
Obecně prospěšná společnost,"Anabell, o.p.s.",2.55295082
Obecně prospěšná společnost,"Centrum uznávání celoživotního učení Jihočeského kraje, o.p.s.",2.54382594
Obecně prospěšná společnost,Medela-péče o seniory o.p.s.,2.51126059
Obecně prospěšná společnost,"MAS 21, o.p.s.",2.507622
Nadace,"""Nadace Východočeská onkologie""",2.49321512
Obecně prospěšná společnost,"DOTYK II, o.p.s.",2.46935492
Obecně prospěšná společnost,"ENKI, o.p.s.",2.461549
Obecně prospěšná společnost,"KULTURNÍ CENTRUM ALBERTOVEC, o. p. s.",2.4391629100000003
